User_ID,num_touchpoints,unique_channels,time_to_conversion_hours,converted,first_channel_Direct Traffic,first_channel_Display Ads,first_channel_Email,first_channel_Referral,first_channel_Search Ads,first_channel_Social Media,last_channel_Direct Traffic,last_channel_Display Ads,last_channel_Email,last_channel_Referral,last_channel_Search Ads,last_channel_Social Media
10028,2,2,23.329166666666666,1,False,False,False,False,True,False,False,True,False,False,False,False
10045,2,2,25.392222222222223,1,False,False,False,False,True,False,False,True,False,False,False,False
10062,3,3,29.4625,1,False,False,False,False,False,True,False,False,True,False,False,False
10068,5,2,39.971944444444446,0,False,False,False,False,True,False,False,False,False,False,False,True
10095,6,4,40.28916666666667,1,False,True,False,False,False,False,False,False,False,True,False,False
10120,5,3,27.995833333333334,1,False,False,False,True,False,False,True,False,False,False,False,False
10167,3,2,42.784166666666664,1,False,False,False,False,False,True,False,True,False,False,False,False
10172,2,2,21.22277777777778,1,False,False,True,False,False,False,False,False,False,True,False,False
10202,5,4,42.85388888888889,1,False,True,False,False,False,False,False,False,False,False,True,False
10255,4,3,25.465833333333332,1,False,False,False,False,False,True,False,False,False,False,False,True
10271,1,1,0.0,1,False,False,False,False,False,True,False,False,False,False,False,True
10273,1,1,0.0,1,False,False,False,False,False,True,False,False,False,False,False,True
10303,2,2,3.097777777777778,1,True,False,False,False,False,False,False,False,False,True,False,False
10306,2,2,2.9244444444444446,1,False,False,False,False,False,True,False,False,False,False,True,False
10317,7,6,39.655,1,False,False,True,False,False,False,False,True,False,False,False,False
10341,3,2,26.240277777777777,1,False,True,False,False,False,False,False,False,True,False,False,False
10374,3,3,31.95611111111111,0,False,False,True,False,False,False,True,False,False,False,False,False
10378,3,3,40.695277777777775,1,False,False,False,False,True,False,False,False,False,True,False,False
10414,2,2,2.4480555555555554,0,False,False,False,True,False,False,False,False,False,False,False,True
10415,4,3,30.703333333333333,1,False,False,False,False,False,True,False,False,True,False,False,False
10426,2,2,32.505833333333335,1,False,False,False,True,False,False,True,False,False,False,False,False
10442,6,4,39.441944444444445,1,True,False,False,False,False,False,False,False,False,False,False,True
10466,3,3,46.46861111111111,1,False,True,False,False,False,False,True,False,False,False,False,False
10518,4,2,32.5125,1,False,False,False,False,False,True,False,False,False,True,False,False
10556,4,3,36.07277777777778,0,False,False,False,True,False,False,True,False,False,False,False,False
10566,1,1,0.0,1,True,False,False,False,False,False,True,False,False,False,False,False
10614,2,2,8.59,0,False,False,False,False,True,False,False,False,False,False,False,True
10654,10,6,45.666111111111114,0,False,False,False,True,False,False,False,False,False,False,False,True
10665,2,1,40.669444444444444,1,False,False,False,True,False,False,False,False,False,True,False,False
10668,7,4,31.065277777777776,0,True,False,False,False,False,False,False,True,False,False,False,False
10673,4,3,34.255,1,False,True,False,False,False,False,False,False,False,True,False,False
10685,6,4,32.41305555555556,0,False,True,False,False,False,False,False,True,False,False,False,False
10690,5,3,26.051111111111112,0,False,True,False,False,False,False,False,False,False,False,True,False
10698,3,3,25.129722222222224,0,False,False,False,True,False,False,False,True,False,False,False,False
10766,1,1,0.0,1,False,False,False,False,False,True,False,False,False,False,False,True
10781,2,2,28.140833333333333,0,False,True,False,False,False,False,True,False,False,False,False,False
10843,2,2,3.7794444444444446,0,False,False,True,False,False,False,False,False,False,True,False,False
10919,2,2,13.380833333333333,0,True,False,False,False,False,False,False,False,False,True,False,False
10925,6,4,37.971666666666664,1,False,False,True,False,False,False,False,False,False,False,True,False
11007,1,1,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False
11058,3,3,10.493611111111111,1,False,False,False,False,True,False,False,False,False,True,False,False
11107,2,2,5.393888888888889,1,False,False,False,True,False,False,False,False,False,False,False,True
11177,3,2,37.37277777777778,0,False,True,False,False,False,False,False,False,False,False,True,False
11186,2,1,36.92861111111111,1,False,False,False,False,False,True,False,False,False,False,False,True
11209,3,2,0.9008333333333334,0,False,False,True,False,False,False,True,False,False,False,False,False
11233,4,2,27.20277777777778,1,False,False,True,False,False,False,False,False,True,False,False,False
11257,4,3,8.893055555555556,1,False,False,True,False,False,False,False,False,True,False,False,False
11284,4,3,31.600833333333334,0,False,True,False,False,False,False,False,False,False,False,False,True
11295,5,2,33.285833333333336,1,False,False,False,False,False,True,False,False,False,True,False,False
11365,2,2,19.241944444444446,1,False,False,False,True,False,False,False,True,False,False,False,False
11396,1,1,0.0,1,False,False,False,False,False,True,False,False,False,False,False,True
11416,7,5,31.338055555555556,1,False,False,False,True,False,False,False,False,True,False,False,False
11453,5,4,33.97638888888889,1,False,False,False,True,False,False,False,False,False,False,True,False
11503,4,4,46.17388888888889,0,False,False,True,False,False,False,False,False,False,False,False,True
